Date,Open,High,Low,Close, Adj Close ,Volume
1997-04-01,5840.299805,5976.600098,5658,5976.600098,"5,977",874082600
1997-05-01,5973.299805,6491.399902,5973.299805,6382.100098,"6,382",1096815500
1997-06-01,6403.399902,6557,6388.799805,6437.700195,"6,438",1149464300
1997-07-01,6471.5,6881.899902,6471.5,6877.700195,"6,878",1258942100
1997-08-01,6877.299805,6964.100098,6582.200195,6611.799805,"6,612",1082091700
1997-09-01,6618.299805,7068.600098,6618.299805,7040.200195,"7,040",1276780100
1997-10-01,7070.700195,7223.399902,6355.200195,6842.399902,"6,842",1236781000
1997-11-01,6919.600098,6986.700195,6424.600098,6512.799805,"6,513",1236210000
1997-12-01,6537.899902,6809.600098,6465,6699.399902,"6,699",1203557500
1998-01-01,6708.899902,6755.899902,6066.700195,6700.200195,"6,700",1325187200
1998-02-01,6769.399902,7131.5,6738.700195,7092.5,"7,093",1333138400
1998-03-01,7106.899902,7630.5,7070.299805,7558.5,"7,559",1466541600
1998-04-01,7549.700195,7835.799805,7503.600098,7665,"7,665",1458033100
1998-05-01,7706.100098,7778,7447,7589.799805,"7,590",1051722900
1998-06-01,7558.899902,7570.799805,7104.5,7366.899902,"7,367",1369047100
1998-07-01,7380.600098,7476.899902,6931.399902,6931.399902,"6,931",1166439400
1998-08-01,6910,6910,5530.600098,5530.700195,"5,531",1186758600
1998-09-01,5566.399902,6015.100098,5419.899902,5614.100098,"5,614",1486858100
1998-10-01,5533.5,6242.799805,5325.799805,6208.299805,"6,208",1448284900
1998-11-01,6279.200195,6672.899902,6248.600098,6343.899902,"6,344",1286206900
1998-12-01,6316.5,6485.899902,6169.5,6485.899902,"6,486",1279884400
1999-01-01,6522.200195,6886.899902,6489.299805,6729.600098,"6,730",1349751400
1999-02-01,6754.799805,6779.399902,6257.5,6312.700195,"6,313",1231034500
1999-03-01,6289.600098,6666,6157.700195,6597.799805,"6,598",1582007000
1999-04-01,6613.100098,7115.299805,6595.799805,7014.700195,"7,015",1271624800
1999-05-01,7020.100098,7110.100098,6727.600098,6841.799805,"6,842",1186374000
1999-06-01,6841.799805,7028.5,6788.5,7010.100098,"7,010",1382575500
1999-07-01,7091.5,7309.200195,6977.600098,7081,"7,081",1179163900
1999-08-01,7092,7230.299805,6752.5,6970.799805,"6,971",1322774600
1999-09-01,6993,7175,6717.5,6957.700195,"6,958",1454890100
1999-10-01,6906.399902,7256.200195,6809.799805,7256.200195,"7,256",1264615400
1999-11-01,7227.100098,7903.5,7196.899902,7523.200195,"7,523",1552340700
1999-12-01,7691.399902,8498.799805,7519.5,8413.799805,"8,414",1089937900
2000-01-01,8271.700195,8755.599609,8018.600098,8481.099609,"8,481",1401281200
2000-02-01,8496.299805,9557.599609,8438.400391,9129,"9,129",907177500
2000-03-01,9317.900391,10176.7002,9191.900391,9462.400391,"9,462",1364783800
2000-04-01,9520.700195,9640.099609,8421.599609,9347.599609,"9,348",1839722300
2000-05-01,9399.099609,9620.5,8807.400391,9252,"9,252",2137767400
2000-06-01,9397.900391,10310.09961,9397.900391,10195.5,"10,196",1916390000
2000-07-01,10195.5,10983.29981,10153.09961,10406.29981,"10,406",1496248000
2000-08-01,10456.7002,11325.40039,10181.5,11247.90039,"11,248",1777334700
2000-09-01,11375.40039,11402,10203,10377.90039,"10,378",1752648800
2000-10-01,10491.7002,10701.5,9185.599609,9639.599609,"9,640",2147719000
2000-11-01,9561.299805,9786.200195,8593.5,8819.900391,"8,820",1865611100
2000-12-01,8896.799805,9661.5,8561.900391,8933.700195,"8,934",1999559800
2001-01-01,8961.799805,9425.5,8474.299805,9321.900391,"9,322",2150227000
2001-02-01,9276.400391,9367.799805,7913.799805,8078.700195,"8,079",2073520300
2001-03-01,8033.100098,8315.400391,7438.5,7608,"7,608",2363551000
2001-04-01,7633.299805,8147.700195,7382,7946.600098,"7,947",2109652800
2001-05-01,7915.600098,8409.099609,7864.5,8161.899902,"8,162",2534824200
2001-06-01,8180.100098,8334.799805,7519.5,7736.399902,"7,736",2347854900
2001-07-01,7687.100098,7765.600098,7531.600098,7689.700195,"7,690",1597000400
2001-08-01,7703,7777.100098,7397.399902,7399.200195,"7,399",1681793200
2001-09-01,7420.299805,7513.600098,6301.5,6838.600098,"6,839",1990169800
2001-10-01,6801.899902,7077.299805,6766.399902,6885.700195,"6,886",2277342500
2001-11-01,6904.600098,7496,6864.799805,7425.700195,"7,426",2368759700
2001-12-01,7366,7729.299805,7346.600098,7688.399902,"7,688",1989709200
2002-01-01,7679.600098,7875.700195,7468.899902,7648.5,"7,649",2086937300
2002-02-01,7641.100098,7707.399902,7402.700195,7637.5,"7,638",2091999100
2002-03-01,7672.899902,7992.700195,7662.299805,7851.5,"7,852",2337427200
2002-04-01,7854,7932.100098,7569.5,7663.399902,"7,663",2398755700
2002-05-01,7646.600098,7746.5,7539.200195,7656.100098,"7,656",2274294900
2002-06-01,7631.399902,7668.399902,7003.700195,7145.600098,"7,146",2862082800
2002-07-01,7126.200195,7145.600098,5992.100098,6605.399902,"6,605",2643161500
2002-08-01,6573.100098,6737.899902,6431.5,6612,"6,612",2146800600
2002-09-01,6565.700195,6629.200195,6037.100098,6180.399902,"6,180",2455891700
2002-10-01,6177.899902,6452.799805,5678.299805,6248.799805,"6,249",3003583400
2002-11-01,6247.799805,6636.399902,6227.299805,6570.399902,"6,570",2685316700
2002-12-01,6652,6725.5,6491.799805,6614.5,"6,615",2744226100
2003-01-01,6632.299805,6852.5,6478.100098,6569.5,"6,570",2880277700
2003-02-01,6591.299805,6618.399902,6428.100098,6555.100098,"6,555",1957129500
2003-03-01,6570.5,6597.5,6204.899902,6343.299805,"6,343",2292977000
2003-04-01,6351.200195,6633.700195,6316.200195,6586.100098,"6,586",2446353800
2003-05-01,6584.100098,6868.200195,6538.799805,6859.799805,"6,860",2552088100
2003-06-01,6885.799805,7129.200195,6859.799805,6983.100098,"6,983",2592288400
2003-07-01,6996.799805,7311.5,6981.399902,7257.899902,"7,258",2609260000
2003-08-01,7226.5,7546.700195,7122.600098,7510.299805,"7,510",2118619400
2003-09-01,7507.700195,7667.100098,7379.899902,7421.100098,"7,421",3180006500
2003-10-01,7433.100098,7819,7421.100098,7772.700195,"7,773",2700141600
2003-11-01,7799,7908.700195,7710.700195,7859.399902,"7,859",2205310500
2003-12-01,7896.5,8276.799805,7859.399902,8220.900391,"8,221",2514021600
2004-01-01,8241.200195,8645.299805,8220.900391,8521.400391,"8,521",3348367600
2004-02-01,8546.900391,8808.799805,8521.200195,8788.5,"8,789",2620558700
2004-03-01,8840.599609,8885.599609,8416,8585.900391,"8,586",3385866200
2004-04-01,8632.099609,8920.799805,8217.700195,8244,"8,244",3002144600
2004-05-01,8283.799805,8481.400391,8098.100098,8417.299805,"8,417",2557196600
2004-06-01,8390.200195,8578.099609,8274.900391,8545.599609,"8,546",2520716500
2004-07-01,8498,8545.599609,8242.799805,8458.099609,"8,458",2228622500
2004-08-01,8503.799805,8503.799805,8116.200195,8377,"8,377",2153111100
2004-09-01,8356.099609,8672,8320.099609,8668.299805,"8,668",2432324400
2004-10-01,8665.099609,8900,8663.400391,8871,"8,871",2523166500
2004-11-01,8877.700195,9078.700195,8795.5,9030.099609,"9,030",2632697900
2004-12-01,9037.799805,9287.400391,8965.299805,9246.700195,"9,247",2440751300
2005-01-01,9190.099609,9246.799805,8952.799805,9204.099609,"9,204",2335454800
2005-02-01,9211.5,9774.599609,9204.099609,9668.299805,"9,668",2446392600
2005-03-01,9701.200195,9968.400391,9390.5,9612.400391,"9,612",2955365700
2005-04-01,9675.299805,9701.400391,9243.700195,9369.299805,"9,369",2377228200
2005-05-01,9349.099609,9679.900391,9261.5,9607.299805,"9,607",2304422000
2005-06-01,9618.400391,10075,9604.599609,9902.799805,"9,903",2615060500
2005-07-01,10033,10542,9902.799805,10422.90039,"10,423",2116858500
2005-08-01,10491.7002,10728.59961,10373.2002,10668.90039,"10,669",2824134500
2005-09-01,10675.59961,11135.5,10668.90039,11011.79981,"11,012",3151830700
2005-10-01,11035,11084.59961,10145.09961,10383.29981,"10,383",2812107900
2005-11-01,10390,11146.09961,10383.29981,10824.09961,"10,824",2905177100
2005-12-01,10868.2002,11296.79981,10824.09961,11272.29981,"11,272",2722575800
2006-01-01,11304.59961,12000,11272.29981,11945.59961,"11,946",3633925900
2006-02-01,11962.79981,12080.5,11458.40039,11688.29981,"11,688",3608163800
2006-03-01,11694.7002,12287.5,11649.40039,12110.59961,"12,111",3957488300
2006-04-01,12200.7002,12494.7002,12110.59961,12204.2002,"12,204",3406152500
2006-05-01,12289.2002,12420.59961,11345.09961,11744.5,"11,745",4295340200
2006-06-01,11695,11932.40039,10860.7002,11612.90039,"11,613",3775487000
2006-07-01,11670.2002,11929.90039,11410.40039,11831,"11,831",3136692400
2006-08-01,11864.09961,12226.59961,11817.5,12073.79981,"12,074",3675088700
2006-09-01,12121.59961,12210.90039,11464.59961,11761.29981,"11,761",4193771000
2006-10-01,11767.40039,12415.90039,11407.29981,12344.59961,"12,345",4475722400
2006-11-01,12023.29981,12782.59961,12002.59961,12752.40039,"12,752",4723027800
2006-12-01,12757.40039,13053.2002,12665.90039,12908.40039,"12,908",3088822000
2007-01-01,12924.5,13074.09961,12412.59961,13034.09961,"13,034",4150428500
2007-02-01,13090.7002,13433,12947.90039,13045,"13,045",3861226900
2007-03-01,12920,13308.09961,12661.5,13165.5,"13,166",4271469800
2007-04-01,13185.29981,13713.09961,13165.5,13416.7002,"13,417",4050566100
2007-05-01,13430.2002,14216.2002,13305.09961,14056.79981,"14,057",4790405400
2007-06-01,14084.5,14209.40039,13535.29981,13906.59961,"13,907",4675035500
2007-07-01,14001.40039,14646.79981,13705,13868.59961,"13,869",4474079300
2007-08-01,13751.79981,13868.59961,12463.79981,13660.5,"13,661",4721564300
2007-09-01,13673.7002,14167.29981,13539.90039,14098.90039,"14,099",4226559100
2007-10-01,14113.09961,14625,13869.09961,14625,"14,625",5344499900
2007-11-01,14485.7002,14625,13190.09961,13689.09961,"13,689",5057926500
2007-12-01,13671.59961,14027.2002,13295.59961,13833.09961,"13,833",3587962200
2008-01-01,13907.7002,14037.7002,11982.90039,13155.09961,"13,155",5246150100
2008-02-01,13202.59961,13891.79981,12747.59961,13582.7002,"13,583",4505827300
2008-03-01,13622.5,13667.59961,12453.90039,13350.09961,"13,350",5009775900
2008-04-01,13337.7002,14372.29981,13254,13937,"13,937",4755252900
2008-05-01,13920.29981,15128.59961,13846.59961,14714.7002,"14,715",4794265700
2008-06-01,14673.90039,15154.79981,14156.5,14467,"14,467",4708141000
2008-07-01,14573.5,14584.90039,13157.90039,13592.90039,"13,593",5117166900
2008-08-01,13645.09961,13771.29981,13015.90039,13771.29981,"13,771",4070964700
2008-09-01,13558.79981,13771.29981,11171.29981,11752.90039,"11,753",6508455900
2008-10-01,11730.7002,11775.79981,8537.299805,9762.799805,"9,763",6990780400
2008-11-01,9841.299805,10199.79981,7647.100098,9270.599609,"9,271",5928069900
2008-12-01,8816.400391,9270.599609,7802.299805,8987.700195,"8,988",5650908400
2009-01-01,8951.900391,9505.700195,8387.599609,8694.900391,"8,695",4769963000
2009-02-01,8603,9151.599609,7566.299805,8123,"8,123",4761913900
2009-03-01,7997.600098,9018.5,7480,8720.400391,"8,720",5839440200
2009-04-01,8647.599609,9568.299805,8617.299805,9324.799805,"9,325",4857191300
2009-05-01,9369.200195,10493.09961,9324.799805,10370.09961,"10,370",4706025200
2009-06-01,10530.79981,10726,9727.299805,10374.90039,"10,375",4799342800
2009-07-01,10290.5,10841.5,9535.5,10787.2002,"10,787",3774968400
2009-08-01,10943.29981,11065.40039,10480.2002,10868.2002,"10,868",3542276500
2009-09-01,10840.90039,11648.59961,10634.79981,11395,"11,395",4535265100
2009-10-01,11403.29981,11595,10767.59961,10910.79981,"10,911",4041880800
2009-11-01,10896.7002,11737.79981,10745.29981,11447.2002,"11,447",3639444600
2009-12-01,11574.7002,11816.29981,11248.90039,11746.09961,"11,746",3322506500
2010-01-01,11847.29981,12070.7002,11084.29981,11094.29981,"11,094",3276439600
2010-02-01,11147.5,11763.29981,10990.40039,11629.59961,"11,630",3144329300
2010-03-01,11682.79981,12129.29981,11629.59961,12037.7002,"12,038",4110928300
2010-04-01,12069.90039,12321.79981,11954,12210.7002,"12,211",3925581700
2010-05-01,12274,12294.59961,11180,11763,"11,763",4661249300
2010-06-01,11702.2002,12077,11244,11294.40039,"11,294",4361343100
2010-07-01,11245.29981,11822.7002,11065.5,11713.40039,"11,713",3657327900
2010-08-01,11829.29981,11990.79981,11469.29981,11913.90039,"11,914",3919657600
2010-09-01,11978.29981,12406.40039,11914.2002,12368.7002,"12,369",4497303100
2010-10-01,12400.09961,12710.2002,12262.7002,12676.2002,"12,676",3947914100
2010-11-01,12725.90039,13114.09961,12501.79981,12952.90039,"12,953",4668483900
2010-12-01,13067,13493.59961,12952.90039,13443.2002,"13,443",4102139700
2011-01-01,13530.40039,13588.5,13139.5,13552,"13,552",4636162300
2011-02-01,13617.7002,14160.7002,13552.29981,14136.5,"14,137",4403932100
2011-03-01,14167,14329.5,13237.90039,14116.09961,"14,116",5292244500
2011-04-01,14118.2002,14315.40039,13584.59961,13944.79981,"13,945",4024334700
